0.124901 ,0.000500 ,0.025396 ,0.001390 ,0.000000 ,0.000088 ,0.000000 ,0.000001 ,0.000048 ,0.000000 ,0.000000 ,0.000056 ,0.006309 ,0.000000 
0.000048 ,0.002994 ,0.041157 ,0.007949 ,0.122556 ,0.000000 ,0.000000 ,0.000000 ,0.000001 ,0.000000 ,0.000000 ,0.000011 ,0.000026 ,0.000336 
0.194886 ,0.069123 ,0.431259 ,0.284128 ,0.071532 ,0.032895 ,0.031397 ,0.002093 ,0.088986 ,0.316465 ,0.059791 ,0.074701 ,0.125595 ,0.103139 
0.004994 ,0.006464 ,0.003901 ,0.002275 ,0.047360 ,0.006132 ,0.003945 ,0.046033 ,0.012262 ,0.000575 ,0.005081 ,0.015263 ,0.005966 ,0.000000 
0.008574 ,0.038643 ,0.018153 ,0.006404 ,0.062116 ,0.019195 ,0.005915 ,0.003320 ,0.023276 ,0.001916 ,0.010453 ,0.032833 ,0.024977 ,0.018828 
0.041306 ,0.025737 ,0.056770 ,0.065203 ,0.020491 ,0.017183 ,0.006080 ,0.001092 ,0.014420 ,0.108130 ,0.015555 ,0.015088 ,0.043202 ,0.017125 
0.017202 ,0.069426 ,0.012518 ,0.014830 ,0.026315 ,0.053706 ,0.107701 ,0.057374 ,0.038422 ,0.065574 ,0.013849 ,0.003278 ,0.021256 ,0.586435 
0.000344 ,0.007764 ,0.002021 ,0.002536 ,0.006669 ,0.027097 ,0.013701 ,0.005709 ,0.018136 ,0.000977 ,0.019540 ,0.000943 ,0.008418 ,0.003346 
0.024387 ,0.020313 ,0.023207 ,0.029464 ,0.021244 ,0.019369 ,0.014625 ,0.000426 ,0.109963 ,0.131357 ,0.015525 ,0.019746 ,0.012598 ,0.024756 
0.023747 ,0.253410 ,0.004162 ,0.023407 ,0.007948 ,0.031993 ,0.005086 ,0.001854 ,0.003102 ,0.000000 ,0.008568 ,0.011280 ,0.007959 ,0.020414 
0.002828 ,0.011173 ,0.008095 ,0.011972 ,0.022117 ,0.039745 ,0.055995 ,0.002083 ,0.014833 ,0.000000 ,0.103701 ,0.034736 ,0.044915 ,0.024110 
0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.279653 
0.015503 ,0.055215 ,0.068577 ,0.081088 ,0.097676 ,0.061373 ,0.115649 ,0.022017 ,0.074923 ,0.375006 ,0.146973 ,0.055008 ,0.073836 ,0.082366 
0.012843 ,0.009034 ,0.003203 ,0.007713 ,0.004314 ,0.006098 ,0.002645 ,0.003561 ,0.006610 ,0.000000 ,0.010427 ,0.000404 ,0.005337 ,0.000000 
